Institution_Name,Branch_Name,Address,City,State,ZIP_Code,County_Name,County_FIPS_Code,Branch_ID,FDIC_ID,Total_Deposits_Millions,Est_Year,Geographic_Coordinates
City National Bank,City National Bank,555 S Flower St,Los Angeles,CA,90071,Los Angeles,,11300,11300,,12/04/1953,
Columbia Bank,FAIRFAX BRANCH,110 S Fairfax Ave,Los Angeles,CA,90036,Los Angeles,,11503,11503,,12/01/1955,
Cathay Bank,Cathay Bank,777 N Broadway,Los Angeles,CA,90012,Los Angeles,,12395,12395,,04/19/1962,
SMBC MANUBANK,SMBC MANUBANK,"515 South Figueroa Street, Ground Floor",Los Angeles,CA,90071,Los Angeles,,12503,12503,,10/29/1962,
BMO Bank National Association,L.A. BUNKER HILL BRANCH,300 S Grand Ave,Los Angeles,CA,90071,Los Angeles,,12682,12682,,07/08/1963,
CTBC Bank Corp. (USA),CTBC Bank Corp. (USA),801 S Figueroa St,Los Angeles,CA,90017,Los Angeles,,13219,13219,,04/27/1965,
Beneficial State Bank,EAST LOS ANGELES BRANCH,3626 E 1st St,Los Angeles,CA,90063,Los Angeles,,14098,14098,,07/01/1971,
BMO Bank National Association,L.A. MAIN BRANCH,915 Wilshire Blvd,Los Angeles,CA,90017,Los Angeles,,14207,14207,,01/05/1972,
GBC International Bank,GBC International Bank,333 S Grand Ave,Los Angeles,CA,90071,Los Angeles,,15573,15573,,11/15/1976,
Comerica Bank,WESTWOOD BRANCH,1021 Glendon Ave,Los Angeles,CA,90024,Los Angeles,,15920,15920,,01/16/1979,
"The Bank of New York Mellon Trust Company, National Association","The Bank of New York Mellon Trust Company, National Association",333 S Hope St,Los Angeles,CA,90071,Los Angeles,,16450,16450,,07/01/1981,
U.S. Bank National Association,HOLLYWOOD  - 6922 HOLLYWOOD BRANCH,6922 Hollywood Blvd,Los Angeles,CA,90028,Los Angeles,,16472,16472,,08/07/1981,
State Bank of India (California),State Bank of India (California),707 Wilshire Blvd,Los Angeles,CA,90017,Los Angeles,,16734,16734,,09/03/1982,
Banc of California,Banc of California,11611 San Vicente Blvd,Los Angeles,CA,90049,Los Angeles,,16761,16761,,08/26/1982,
Hanmi Bank,Hanmi Bank,3660 Wilshire Blvd Ste Ph-A,Los Angeles,CA,90010,Los Angeles,,16829,16829,,12/15/1982,
First Credit Bank,First Credit Bank,9255 W Sunset Blvd,Los Angeles,CA,90069,Los Angeles,,16926,16926,,02/18/1983,
Banc of California,OLYMPIC-LOS ANGELES BRANCH,11150 W Olympic Blvd,Los Angeles,CA,90064,Los Angeles,,17130,17130,,08/29/1983,
"Wells Fargo Bank, National Association",EAST LOS ANGELES BRANCH,5458 Whittier Blvd,Los Angeles,CA,90022,Los Angeles,,188039,188039,,09/01/1927,
"Wells Fargo Bank, National Association",WHITTIER & INDIANA BRANCH,3800 Whittier Blvd,Los Angeles,CA,90023,Los Angeles,,188040,188040,,06/01/1920,
"Wells Fargo Bank, National Association",FLORENCE & CENTRAL BRANCH,1144 E Florence Ave,Los Angeles,CA,90001,Los Angeles,,188069,188069,,01/01/1922,
"Wells Fargo Bank, National Association",ADAMS & BROADWAY BRANCH,141 W Adams Blvd,Los Angeles,CA,90007,Los Angeles,,188099,188099,,09/21/1959,
"Wells Fargo Bank, National Association",FIRST INTERSTATE TOWER BRANCH,707 Wilshire Blvd,Los Angeles,CA,90017,Los Angeles,,188109,188109,,10/01/1927,
"Wells Fargo Bank, National Association",WILSHIRE-LUCAS BRANCH,1200 Wilshire Blvd,Los Angeles,CA,90017,Los Angeles,,188118,188118,,06/01/1920,
"Wells Fargo Bank, National Association",BRENTWOOD BRANCH,11836 San Vicente Blvd,Los Angeles,CA,90049,Los Angeles,,188122,188122,,06/04/1956,
"Wells Fargo Bank, National Association",OLYMPIC & PURDUE,11835 W Olympic Blvd,Los Angeles,CA,90064,Los Angeles,,188131,188131,,11/30/1962,
U.S. Bank National Association,CALIFORNIA MART,110 E 9th St,Los Angeles,CA,90079,Los Angeles,,188502,188502,,11/02/1962,
"Wells Fargo Bank, National Association",RANCHO PARK BRANCH,10789 W Pico Blvd,Los Angeles,CA,90064,Los Angeles,,188901,188901,,12/13/1978,
"Bank of America, National Association",29TH AND CRENSHAW BRANCH,2907 Crenshaw Blvd,Los Angeles,CA,90016,Los Angeles,,196578,196578,,01/01/1871,
"Bank of America, National Association",BROADWAY-MANCHESTER BRANCH,8564 S Broadway,Los Angeles,CA,90003,Los Angeles,,196579,196579,,07/01/1957,
"Bank of America, National Association",CENTINELA AND LA TIJERA BRANCH,6611 La Cienega Westway St,Los Angeles,CA,90056,Los Angeles,,196590,196590,,12/13/1963,
"Bank of America, National Association",FIGUEROA AND ADAMS BRANCH,2703 S Figueroa St,Los Angeles,CA,90007,Los Angeles,,196599,196599,,02/21/1925,
"Bank of America, National Association",MELROSE-FAIRFAX BRANCH,7900 Melrose Ave,Los Angeles,CA,90046,Los Angeles,,196610,196610,,04/19/1924,
"Bank of America, National Association",RANCHO PARK BRANCH,10731 W Pico Blvd,Los Angeles,CA,90064,Los Angeles,,196621,196621,,01/22/1945,
"Bank of America, National Association",LINCOLN MANCHESTER BRANCH,7215 W Manchester Ave,Los Angeles,CA,90045,Los Angeles,,196653,196653,,07/08/1960,
U.S. Bank National Association,WESTWOOD BRANCH,10900 Wilshire Blvd,Los Angeles,CA,90024,Los Angeles,,197290,197290,,10/06/1967,
U.S. Bank National Association,BRENTWOOD SQUARE BRANCH,11661 San Vicente Blvd,Los Angeles,CA,90049,Los Angeles,,197291,197291,,10/18/1965,
"Zions Bancorporation, N.A.",WILSHIRE-SAN VICENTE BRANCH,6500 Wilshire Blvd,Los Angeles,CA,90048,Los Angeles,,197436,197436,,10/17/1962,
